Среднемесячная номинальная начисленная заработная плата на одного работника по полному кругу организаций (рубль, Всего (по всем формам собственности), значение показателя за год);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;;;;;;;;;;;
;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;;;;;;;;;;;
    Сибирский федеральный округ;4 309,5;5 325,3;6 507,8;8 109,7;9 877,5;12 344,8;15 381,4;16 606,4;18 657,6;20 889,9;23 788,5;26 398,1;28 347,1;29 615,6;;;;;;;;;;;
        Республика Алтай;3 058,3;3 816,7;4 549,9;5 736,1;7 438,1;9 228,2;11 453,9;13 075,4;14 235,8;15 632,4;18 264,6;20 721,9;22 597,6;22 902,8;;;;;;;;;;;
        Республика Бурятия;3 941,1;5 011,2;6 162,7;7 650,5;9 190,1;11 528,6;14 417;15 976,2;17 999,7;19 924;23 100,7;26 037,7;27 738,7;28 385,6;;;;;;;;;;;
        Республика Тыва;3 757,9;4 698,1;5 469,9;6 814,4;8 647,2;10 701,6;13 614,6;16 154,6;17 530;19 163,1;22 238,5;25 087,2;27 507,4;28 321,7;;;;;;;;;;;
        Республика Хакасия;4 093,9;5 054,1;6 160,8;7 770,8;9 443,1;11 251,2;14 488,4;16 211,6;18 358,4;20 689,5;23 466,5;26 068,3;29 085,1;29 934,8;;;;;;;;;;;
        Алтайский край;2 567,6;3 147,5;3 955,3;4 913,8;6 147;7 804,7;9 731,5;10 871,6;12 050,7;13 822,6;16 009,7;18 011,3;19 455,9;20 089,7;;;;;;;;;;;
        Забайкальский край;4 246,2;5 442,2;6 671,6;8 152,7;9 942,6;12 161,5;15 142,5;16 553,6;18 684,5;21 099,6;24 218,5;27 279,4;29 318,5;30 930,8;;;;;;;;;;;
        Красноярский край;6 171,4;7 366,8;8 673,7;10 502,4;12 471,7;15 510;18 934,7;20 277;23 254,2;25 658,6;28 672,4;31 622,6;34 178,2;36 070,8;;;;;;;;;;;
        Иркутская область;5 024,7;6 137,6;7 329,3;9 125,3;11 103,1;13 770;17 072,1;18 192,9;20 475,6;22 647,7;25 880,8;29 049,9;31 407,6;32 703,9;;;;;;;;;;;
        Кемеровская область;4 248,3;5 263,6;6 706,6;8 653,6;10 407,7;12 554,9;15 410;15 995;18 027,8;20 478,8;23 403,2;25 325,8;26 809;28 263;;;;;;;;;;;
        Новосибирская область;3 708,8;4 623,5;5 833,4;7 264,3;9 165,6;12 017;15 713,6;16 798,5;18 229,7;20 308,5;23 245,8;25 527,9;27 213,5;28 045,5;;;;;;;;;;;
        Омская область;3 452,9;4 426,9;5 482,5;7 124,3;8 866,6;11 003,6;13 524,8;14 780,5;16 708,2;19 087,8;21 931,2;24 847,9;26 204,5;27 233,7;;;;;;;;;;;
        Томская область;5 235,2;6 685,4;7 972,2;9 609,9;11 317,2;14 429;17 675,3;19 340;21 450,2;24 001;26 725,4;29 813,5;32 041,6;34 041,1;;;;;;;;;;;
    Дальневосточный федеральный округ;5 979,1;7 554,7;9 115,2;11 507,9;13 711,4;16 713;20 778,3;23 157,8;25 814,2;29 319,7;33 584;37 578,8;40 875,7;43 163,5;;;;;;;;;;;
        Республика Саха (Якутия);8 171,8;9 697,4;11 315,3;13 436,9;16 167,5;19 409,2;23 815,9;26 532,6;28 708;34 051,5;39 915,6;46 542;51 110,5;54 630,9;;;;;;;;;;;
        Камчатский край;8 678,6;10 319,6;12 297,7;15 477,1;18 540,9;21 814,7;27 254,2;31 569,9;35 747,6;39 325,9;43 551,9;48 628,8;53 166,5;57 403,6;;;;;;;;;;;
        Приморский край;4 514,8;5 793,1;7 033,4;8 925,7;10 903,1;13 174,1;16 805,1;18 997,4;21 888,7;24 423;27 444,6;29 965,7;32 431;33 806,5;;;;;;;;;;;
        Хабаровский край;5 612,2;7 368,5;8 948,4;11 335,6;12 887,6;15 883,5;18 984,5;20 455;22 656,5;26 155,7;31 076,1;34 132,3;36 781;38 041,3;;;;;;;;;;;
        Амурская область;4 692,2;5 930,2;7 353,7;9 391,8;11 110,8;13 534,4;16 665;19 019;21 207,5;24 202,1;26 789;30 541,7;32 396,5;32 901,7;;;;;;;;;;;
        Магаданская область;7 444,3;9 386;11 174,6;14 672,6;17 747,2;22 101,6;28 030,4;32 656,5;36 582;41 933,7;49 667,3;57 121,1;62 151,5;65 996,3;;;;;;;;;;;
        Сахалинская область;6 959,3;9 331;11 711,1;15 242,6;18 842,1;23 346,3;30 060,4;32 625,9;35 847,9;38 770,7;44 207,6;49 006,9;54 895,9;61 311,3;;;;;;;;;;;
        Еврейская автономная область;4 203,9;5 409,8;6 513,8;8 190,2;9 529,1;11 968,9;15 037,5;16 890,3;19 718;22 927,5;25 067;27 357,7;29 439,2;30 895,7;;;;;;;;;;;
        Чукотский автономный округ;13 501,7;17 270,7;18 618,2;23 314,4;25 703;30 859,1;38 317,4;42 533,9;46 865,7;53 369,3;60 807,4;68 261,3;76 284,9;79 531,1;;;;;;;;;;;
    Крымский федеральный округ;;;;;;;;;;;;;;22 313;;;;;;;;;;;
Республика Адыгея;2 612,6;3 317,5;4 266,3;5 123;6 414,4;8 056,4;10 096,9;11 547,6;12 787,4;14 344,9;16 715,2;19 276;20 945,3;22 087,1;;;;;;;;;;;
Республика Калмыкия;2 533,7;2 960,8;3 605,7;4 495;5 562,2;7 101,2;9 083,1;10 848,7;11 601;12 559,1;15 040,7;17 470,8;19 341,3;20 108,5;;;;;;;;;;;
Республика Крым;;;;;;;;;;;;;;22 440,3;;;;;;;;;;;
Краснодарский край;3 365,4;4 033,1;5 155,3;6 462,3;7 975,5;10 260;13 162,5;14 953,2;16 329,9;18 416;21 409,2;24 062,6;25 776,6;26 766,5;;;;;;;;;;;
Астраханская область;3 530;4 431,6;5 495,4;6 884,2;8 157,9;9 866,9;12 339,8;14 095,7;16 582,1;17 022,8;19 522,1;22 735,8;24 575,8;25 498,7;;;;;;;;;;;
Волгоградская область;3 132,7;3 989,3;4 885,1;6 160;7 746,6;9 770,2;12 001,8;13 256,5;14 856,1;16 191,5;18 583,7;21 045,9;22 827,6;24 360,7;;;;;;;;;;;
Ростовская область;3 002,1;3 806,1;4 797,5;5 944,7;7 568,9;9 779,6;12 539;13 882,5;15 243,9;16 949,5;19 189,4;21 867,1;23 817,6;25 007,5;;;;;;;;;;;
г. Севастополь;;;;;;;;;;;;;;21 848,2;;;;;;;;;;;
